time,ax,ay,az,atotal
0.016086101531982422,0.08,-0.05,-0.2,0.22
0.016785144805908203,0.13,-0.05,-0.21,0.25
0.019759178161621094,0.07,-0.05,0.02,0.08
0.029883146286010742,0.06,-0.06,0.02,0.08
0.03992319107055664,0.06,-0.06,0.01,0.08
0.050086021423339844,0.09,-0.09,0.0,0.12
0.059803009033203125,0.07,-0.08,0.02,0.1
0.06990909576416016,0.06,-0.06,0.03,0.09
0.08121299743652344,0.06,-0.06,0.04,0.09
0.08975696563720703,0.06,-0.07,0.02,0.09
0.10543203353881836,0.06,-0.08,0.03,0.1
0.11021113395690918,0.05,-0.08,0.04,0.1
0.12042427062988281,0.07,-0.07,0.04,0.1
0.13055419921875,0.08,-0.06,0.03,0.1
0.140106201171875,0.08,-0.04,0.0,0.08
0.15046024322509766,0.08,-0.04,0.02,0.09
0.1599900722503662,0.07,-0.05,0.01,0.08
0.17023229598999023,0.07,-0.05,0.03,0.09
0.18039512634277344,0.05,-0.05,0.04,0.08
0.1899731159210205,0.07,-0.07,0.03,0.1
0.20242714881896973,0.06,-0.08,0.04,0.1
0.20989704132080078,0.07,-0.08,0.03,0.11
0.2201080322265625,0.07,-0.06,0.03,0.09
0.23140311241149902,0.07,-0.06,0.03,0.09
0.23990917205810547,0.06,-0.06,0.02,0.08
0.24972820281982422,0.06,-0.04,0.04,0.08
0.25974416732788086,0.08,-0.05,0.01,0.09
0.2696990966796875,0.06,-0.07,0.01,0.09
0.27962398529052734,0.06,-0.05,0.03,0.08
0.2895641326904297,0.05,-0.06,0.03,0.08
0.3044281005859375,0.06,-0.07,0.03,0.09
0.30948400497436523,0.08,-0.06,0.01,0.1
0.31946611404418945,0.08,-0.05,0.0,0.09
0.3298921585083008,0.08,-0.03,0.02,0.08
0.3395671844482422,0.07,-0.06,0.03,0.09
0.3495030403137207,0.08,-0.07,0.01,0.1
0.35944223403930664,0.07,-0.08,0.02,0.1
0.36937522888183594,0.06,-0.07,0.04,0.1
0.37935829162597656,0.05,-0.07,0.03,0.09
0.38921213150024414,0.05,-0.05,0.02,0.07
0.403961181640625,0.05,-0.04,0.0,0.06
0.4094960689544678,0.06,-0.03,0.02,0.06
0.4191911220550537,0.06,-0.07,0.03,0.09
0.4290931224822998,0.08,-0.08,0.04,0.12
0.43912220001220703,0.08,-0.08,0.03,0.11
0.44934606552124023,0.06,-0.06,0.02,0.08
0.4590141773223877,0.04,-0.06,0.03,0.07
0.4692530632019043,0.06,-0.05,0.02,0.08
0.47895216941833496,0.07,-0.04,0.01,0.08
0.4889230728149414,0.07,-0.04,0.0,0.08
0.5038771629333496,0.05,-0.04,0.01,0.06
0.5088930130004883,0.05,-0.06,0.04,0.08
0.5187721252441406,0.06,-0.07,0.03,0.09
0.5288381576538086,0.06,-0.08,0.03,0.1
0.5387940406799316,0.05,-0.06,0.04,0.08
0.5487461090087891,0.07,-0.06,0.03,0.09
0.5586531162261963,0.07,-0.05,0.02,0.08
0.5689771175384521,0.06,-0.05,0.03,0.08
0.5788240432739258,0.05,-0.03,0.02,0.06
0.5885872840881348,0.05,-0.04,0.02,0.06
0.6035511493682861,0.06,-0.06,0.03,0.09
0.6085801124572754,0.07,-0.07,0.03,0.1
0.6185770034790039,0.07,-0.07,0.02,0.1
0.6285781860351562,0.05,-0.04,0.02,0.06
0.6392340660095215,0.05,-0.04,0.01,0.06
0.6485121250152588,0.05,-0.04,0.01,0.06
0.6585149765014648,0.04,-0.04,0.03,0.06
0.6683471202850342,0.05,-0.05,0.02,0.07
0.6785070896148682,0.07,-0.08,0.04,0.11
0.6883549690246582,0.07,-0.08,0.04,0.11
0.7031869888305664,0.06,-0.07,0.04,0.1
0.7082371711730957,0.06,-0.05,0.02,0.08
0.7181739807128906,0.04,-0.04,0.02,0.06
0.7282872200012207,0.05,-0.04,0.02,0.06
0.7381951808929443,0.05,-0.04,0.02,0.06
0.7478599548339844,0.05,-0.05,0.04,0.08
0.7574920654296875,0.06,-0.06,0.03,0.09
0.7674281597137451,0.06,-0.06,0.02,0.08
0.7781972885131836,0.06,-0.06,0.03,0.09
0.7881112098693848,0.07,-0.05,0.03,0.09
0.8035690784454346,0.06,-0.05,0.02,0.08
0.8080739974975586,0.04,-0.04,0.02,0.06
0.8181900978088379,0.05,-0.04,0.02,0.06
0.8280582427978516,0.05,-0.04,0.02,0.06
0.8380632400512695,0.06,-0.05,0.03,0.08
0.8480751514434814,0.07,-0.06,0.04,0.1
0.857720136642456,0.06,-0.07,0.03,0.09
0.8680951595306396,0.06,-0.07,0.03,0.09
0.8779001235961914,0.06,-0.05,0.01,0.07
0.887810230255127,0.05,-0.04,0.02,0.06
0.9028692245483398,0.04,-0.05,0.03,0.07
0.9076910018920898,0.06,-0.04,0.04,0.08
0.9179682731628418,0.06,-0.05,0.02,0.08
0.9276700019836426,0.05,-0.04,0.03,0.07
0.9376020431518555,0.05,-0.05,0.02,0.07
0.9477839469909668,0.06,-0.04,0.03,0.07
0.9574151039123535,0.05,-0.05,0.02,0.07
0.9677650928497314,0.05,-0.05,0.02,0.07
0.9776372909545898,0.05,-0.06,0.02,0.08
0.9893701076507568,0.05,-0.05,0.03,0.07
1.0009441375732422,0.06,-0.05,0.03,0.08
1.0066709518432617,0.05,-0.05,0.02,0.07
1.0161499977111816,0.05,-0.06,0.03,0.08
1.0262532234191895,0.05,-0.04,0.02,0.06
1.036201000213623,0.06,-0.04,0.04,0.08
1.047530174255371,0.04,-0.03,0.03,0.05
1.057084083557129,0.05,-0.04,0.02,0.06
1.0675172805786133,0.06,-0.05,0.02,0.08
1.0771980285644531,0.06,-0.05,0.02,0.08
1.0870280265808105,0.05,-0.05,0.03,0.07
1.1016731262207031,0.05,-0.06,0.02,0.08
1.1069071292877197,0.06,-0.04,0.03,0.07
1.1170291900634766,0.06,-0.04,0.01,0.07
1.1269192695617676,0.05,-0.06,0.03,0.08
1.137362003326416,0.05,-0.06,0.03,0.08
1.1472110748291016,0.05,-0.05,0.02,0.07
1.1569490432739258,0.05,-0.04,0.02,0.06
1.1667289733886719,0.05,-0.04,0.03,0.07
1.1767401695251465,0.05,-0.05,0.03,0.07
1.1866412162780762,0.05,-0.05,0.02,0.07
1.2010712623596191,0.05,-0.06,0.02,0.08
1.2066049575805664,0.06,-0.05,0.02,0.08
1.2168149948120117,0.06,-0.04,0.02,0.07
1.2266182899475098,0.06,-0.05,0.02,0.08
1.2365751266479492,0.05,-0.05,0.03,0.07
1.2464752197265625,0.04,-0.06,0.03,0.07
1.2564141750335693,0.05,-0.05,0.02,0.07
1.2664611339569092,0.06,-0.04,0.02,0.07
1.2766122817993164,0.05,-0.05,0.02,0.07
1.2863430976867676,0.06,-0.05,0.02,0.08
1.3009700775146484,0.05,-0.05,0.03,0.07
1.3062772750854492,0.06,-0.04,0.03,0.07
1.3163011074066162,0.05,-0.05,0.02,0.07
1.3262372016906738,0.05,-0.06,0.01,0.07
1.336205005645752,0.04,-0.04,0.03,0.06
1.3460931777954102,0.04,-0.04,0.03,0.06
1.3561172485351562,0.05,-0.05,0.03,0.07
1.3661022186279297,0.05,-0.05,0.02,0.07
1.3760271072387695,0.05,-0.04,0.02,0.06
1.3859992027282715,0.05,-0.03,0.02,0.06
1.400266170501709,0.05,-0.04,0.02,0.06
1.4060301780700684,0.05,-0.05,0.03,0.07
1.4159190654754639,0.03,-0.05,0.02,0.06
1.425990104675293,0.04,-0.05,0.02,0.06
1.4358940124511719,0.05,-0.05,0.02,0.07
1.4458742141723633,0.05,-0.04,0.02,0.06
1.4558241367340088,0.05,-0.05,0.02,0.07
1.4657611846923828,0.05,-0.05,0.03,0.07
1.4757790565490723,0.05,-0.04,0.03,0.07
1.4856882095336914,0.05,-0.04,0.02,0.06
1.5000691413879395,0.04,-0.04,0.02,0.06
1.505661964416504,0.05,-0.04,0.02,0.06
1.5156669616699219,0.05,-0.05,0.02,0.07
1.5255670547485352,0.05,-0.05,0.03,0.07
1.5355510711669922,0.05,-0.04,0.03,0.07
1.5454602241516113,0.04,-0.04,0.03,0.06
1.5554821491241455,0.04,-0.04,0.02,0.06
1.5654010772705078,0.05,-0.04,0.02,0.06
1.575416088104248,0.05,-0.05,0.03,0.07
1.5854060649871826,0.05,-0.04,0.02,0.06
1.5993852615356445,0.05,-0.04,0.02,0.06
1.605276107788086,0.05,-0.04,0.03,0.07
1.615326166152954,0.04,-0.04,0.03,0.06
1.6252131462097168,0.04,-0.05,0.03,0.07
1.6351680755615234,0.04,-0.04,0.03,0.06
1.6453680992126465,0.05,-0.04,0.03,0.07
1.655144214630127,0.06,-0.04,0.02,0.07
1.6651251316070557,0.04,-0.04,0.02,0.06
1.6751022338867188,0.04,-0.05,0.02,0.06
1.68501615524292,0.05,-0.04,0.02,0.06
1.6996171474456787,0.04,-0.04,0.02,0.06
1.7049522399902344,0.05,-0.04,0.02,0.06
1.714951992034912,0.04,-0.04,0.02,0.06
1.7248811721801758,0.05,-0.05,0.03,0.07
1.7350749969482422,0.04,-0.04,0.04,0.06
1.7448482513427734,0.04,-0.04,0.02,0.06
1.7549362182617188,0.04,-0.04,0.03,0.06
1.7648301124572754,0.05,-0.05,0.02,0.07
1.7748279571533203,0.05,-0.05,0.02,0.07
1.7850532531738281,0.04,-0.05,0.03,0.07
1.7991199493408203,0.05,-0.05,0.03,0.07
1.8065242767333984,0.05,-0.04,0.02,0.06
1.8146719932556152,0.04,-0.04,0.02,0.06
1.8246121406555176,0.04,-0.04,0.03,0.06
1.834543228149414,0.05,-0.04,0.03,0.07
1.8445501327514648,0.05,-0.04,0.02,0.06
1.8544580936431885,0.05,-0.04,0.03,0.07
1.8660881519317627,0.05,-0.04,0.04,0.07
1.8744890689849854,0.04,-0.04,0.03,0.06
1.8844342231750488,0.04,-0.03,0.02,0.05
1.8990869522094727,0.04,-0.04,0.02,0.06
1.9045209884643555,0.05,-0.05,0.02,0.07
1.9143190383911133,0.05,-0.05,0.03,0.07
1.9243850708007812,0.04,-0.04,0.01,0.05
1.9345669746398926,0.05,-0.04,0.02,0.06
1.9445500373840332,0.04,-0.04,0.04,0.06
1.9542300701141357,0.03,-0.03,0.02,0.04
1.9641611576080322,0.04,-0.04,0.03,0.06
1.974095106124878,0.04,-0.04,0.02,0.06
1.9841361045837402,0.04,-0.04,0.02,0.06
1.9989371299743652,0.05,-0.04,0.02,0.06
2.0040371417999268,0.05,-0.04,0.02,0.06
2.013970136642456,0.05,-0.05,0.01,0.07
2.024088144302368,0.04,-0.05,0.01,0.06
2.03395414352417,0.05,-0.05,0.01,0.07
2.043903112411499,0.05,-0.04,0.03,0.07
2.0538041591644287,0.04,-0.04,0.02,0.06
2.0637991428375244,0.04,-0.05,0.03,0.07
2.073723077774048,0.04,-0.04,0.03,0.06
2.083745002746582,0.04,-0.03,0.03,0.05
2.0983080863952637,0.04,-0.04,0.02,0.06
